"year","H2","H3","H4","H5","H6","H7","H8","H9","H10","H11","H13","H14","H15","H17","H18","H19","H20a","H21a","H20b","H21b"
1980,NA,6.153,6.5385,45.87,-0.037705,0.0003427,5.345,-0.01762,0.0012315,3.23,-0.01064,-0.002084,7.365,-0.02485,-0.0001524,6.6,-0.0007755,0.0039485,0.01785,-0.0024015
1981,4.337,6.152,6.519,38.98,-0.005664,-0.0008743,5.425,0.003538,-0.0003385,3.268,-0.005588,0.0020475,8.47,-0.026765,-0.0025105,7.105,-0.0088335,0.0082465,0.02019,-0.003184
1982,4.077,5.875,6.251,36.54,-0.0141,0.0008378,4.935,0.001168,0.001057,3.015,-0.031195,0.002513,6.6,-0.005345,-0.0043965,5.762,0.001733,0.008385,0.01699,-0.002688
1983,4.386,6.7845,7.244,42.68,0.09067,-0.003871,6.175,0.03145,-0.002491,4.02,-0.006792,0.008242,7.59,-0.03393,-0.0002367,6.99,0.006352,-0.00073,0.01087,-0.00261
1984,5.252,5.822,6.2555,40.23,-0.048375,0.001541,5.34,-0.0070065,0.000137957,3.0215,-0.028735,0.003387,7.13,-0.018915,2.7665e-05,6.2625,-0.0014233,0.007072,0.01312,-0.001567
1985,4.717,5.969,6.266,40,-0.03189,0.001877,4.84,0.007724,-0.0004917,2.926,-0.03924,-0.0039,6.63,-0.046695,-0.0020775,5.5445,-0.01626,0.01317,0.006063,-0.001232
1986,4.9205,6.147,6.5595,36.33,-0.005318,-0.0006268,4.859,-0.01423,0.0005385,3.288,-0.01345,0.001823,6.59,0.006492,-0.001571,5.959,-0.007947,0.01122,0.0006448,0.0006865
1987,4.5025,6.3445,6.746,33.57,0.03024,-0.00086255,5.285,-0.00109995,-0.0003554,3.497,-0.02234,0.004824,7.3,-0.004322,-0.005327,6.313,-0.0090235,0.0088935,0.004273,-0.0007354
1988,4.859,6.025,6.496,37.74,-0.001785,0.0003895,5.265,0.003475,0.0001733,3.171,-0.016605,0.003515,6.64,-0.0030005,-0.0042295,5.8045,-0.007314,0.01015,0.01305,-0.001155
1989,4.318,5.9925,6.3065,38.64,0.001651,-0.0004117,4.581,0.007412,-0.0002875,3.017,0.02037,-0.004778,5.961,0.04769,-0.003495,5.809,0.002975,0.002935,0.01306,-0.002681
1990,4.3325,6.3005,6.6685,34.585,0.0424,-0.0016565,4.977,0.023035,-0.001322,3.4125,0.01794,0.001225,6.27,0.01576,-0.00182,5.451,0.002485,0.003573,0.007582,-0.00106315
1991,5.025,6.034,6.43,34.84,0.02394,-9.682e-05,4.619,0.004295,-0.0005784,3.074,0.002944,-0.005547,5.886,-0.0009175,-0.0069045,5.252,0.00024115,0.006864,0.0077365,-0.001089
1992,4.71,6.6325,7.0175,31.45,0.09013,-0.002204,5.401,0.0198,-0.002008,3.735,0.0092415,0.0052785,7.31,-0.04724,-0.001907,7.16,-4.093e-05,0.00495,0.004085,-0.0008044
1993,5.2935,6.1395,6.597,40.605,0.02035,-9.754e-05,5.3615,-0.008371,0.0006683,3.339,0.04038,0.01572,6.69,-0.01895,0.01041,5.924,0.00579,0.0009508,0.012055,-0.002434
1994,4.825,6.307,6.708,39.94,0.0498,-0.0009866,5.37,0.02043,-0.0008505,3.361,0.01469,0.006208,7.05,-0.005446,0.001654,6.16,0.0035285,0.001516,0.013135,-0.002319
1995,4.6505,6.4305,6.848,46.03,0.06806,-0.003385,5.652,0.004799,-0.001752,3.599,0.04101,0.0178,6.82,-0.042325,0.0098975,5.776,0.005409,0.00175,0.01308,-0.002463
1996,4.4885,6.044,6.4505,38.46,0.00151,-0.0014345,5.3205,-0.001786,-0.00051625,3.183,0.04595,0.01554,7.77,-0.002941,0.001055,6.276,0.01797,-0.001458,0.02067,-0.0030445
1997,4.795,6.206,6.725,37.99,0.01335,-0.0008199,5.231,0.01842,-0.001367,3.46,0.017225,0.0083755,6.89,0.0049525,0.0042585,6.2235,0.001708,0.003225,0.02041,-0.0041095
1998,5.194,6.5475,7.22,54.59,0.04877,-0.00263,7.15,0.002118,6.547e-06,4.126,-0.022015,0.011885,8.16,-0.065675,0.002452,6.89,0.001522,0.003232,0.01549,-0.002814
1999,4.897,5.8055,6.157,43.95,0.009909,-0.001515,4.732,-0.003614,-0.0001564,2.878,0.01517,0.009262,6.165,-0.007371,0.003305,5.429,0.0117,0.001356,0.02024,-0.002781
