"","year","total.bio","sp.bio","depletion","age.0","total.bio.1","spr","expl.rate","sp.bio.sd","age.0.sd","yrminusone","sp.bio.1","resids","log.resids","SR_pred","Label","dev","devsd"
"1",1876,53805,33477,1,15483,1,0,0,4198,6940,1875,NA,NA,NA,NA,"Early_RecrDev_1876",3.59e-05,0.400007
"2",1877,53804,33476,1,15483,1,0,0,4199,6940,1876,33477,449.728957777181,0.029476833535611,15033.2710422228,"Early_RecrDev_1877",4.08e-05,0.400008
"3",1878,53803,33475,1,15483,1,0,0,4200,6940,1877,33476,449.738720294443,0.029477482929904,15033.2612797056,"Early_RecrDev_1878",4.63e-05,0.400009
"4",1879,53802,33475,1,15483,1,0,0,4200,6940,1878,33475,449.748483382295,0.0294781323625752,15033.2515166177,"Early_RecrDev_1879",5.27e-05,0.40001
"5",1880,53802,33474,1,15483,12,0,0,4201,6940,1879,33475,449.748483382295,0.0294781323625752,15033.2515166177,"Early_RecrDev_1880",5.98e-05,0.400012
"6",1881,53791,33467,1,15484,22,0,0,4201,6940,1880,33474,450.758247040789,0.0295433667143286,15033.2417529592,"Early_RecrDev_1881",6.79e-05,0.400013
"7",1882,53770,33453,1,15483,33,0.01,0,4203,6940,1881,33467,449.826608632415,0.029483329205922,15033.1733913676,"Early_RecrDev_1882",7.72e-05,0.400015
"8",1883,53741,33434,1,15483,44,0.01,0,4204,6940,1882,33453,449.963415776025,0.0294924295976049,15033.036584224,"Early_RecrDev_1883",8.76e-05,0.400017
"9",1884,53703,33408,1,15483,55,0.01,0,4205,6940,1883,33434,450.149261881659,0.0295047921867191,15032.8507381183,"Early_RecrDev_1884",9.95e-05,0.400019
"10",1885,53657,33378,1,15483,65,0.01,0,4207,6940,1884,33408,450.403912702079,0.0295217319529488,15032.5960872979,"Early_RecrDev_1885",0.00011294,0.400022
"11",1886,53605,33342,1,15483,76,0.02,0,4207,6939,1885,33378,450.698222794195,0.0295413102727196,15032.3017772058,"Early_RecrDev_1886",0.000128175,0.400025
"12",1887,53546,33302,0.99,15483,87,0.02,0,4208,6939,1886,33342,451.052078745754,0.0295648502549319,15031.9479212542,"Early_RecrDev_1887",0.000145449,0.400028
"13",1888,53482,33258,0.99,15482,97,0.02,0,4207,6939,1887,33302,450.446129697462,0.0295264757771214,15031.5538703025,"Early_RecrDev_1888",0.000165011,0.400032
"14",1889,53413,33211,0.99,15482,108,0.02,0,4207,6939,1888,33258,450.880656574862,0.0295553838435705,15031.1193434251,"Early_RecrDev_1889",0.000187183,0.400037
"15",1890,53339,33160,0.99,15482,119,0.02,0,4206,6939,1889,33211,451.346054227399,0.0295863465980357,15030.6539457726,"Early_RecrDev_1890",0.00021229,0.400041
"16",1891,53261,33107,0.99,15482,130,0.03,0,4204,6939,1890,33160,451.852519920665,0.0296200426852522,15030.1474800793,"Early_RecrDev_1891",0.00024073,0.400047
