year,total.bio,sp.bio,depletion,age.0,total.bio,spr,expl.rate,sp.bio.sd,age.0.sd
1876,53805,33477,1,15483,1,0,0,4198,6940
1877,53804,33476,1,15483,1,0,0,4199,6940
1878,53803,33475,1,15483,1,0,0,4200,6940
1879,53802,33475,1,15483,1,0,0,4200,6940
1880,53802,33474,1,15483,12,0,0,4201,6940
1881,53791,33467,1,15484,22,0,0,4201,6940
1882,53770,33453,1,15483,33,0.01,0,4203,6940
1883,53741,33434,1,15483,44,0.01,0,4204,6940
1884,53703,33408,1,15483,55,0.01,0,4205,6940
1885,53657,33378,1,15483,65,0.01,0,4207,6940
1886,53605,33342,1,15483,76,0.02,0,4207,6939
1887,53546,33302,0.99,15483,87,0.02,0,4208,6939
1888,53482,33258,0.99,15482,97,0.02,0,4207,6939
1889,53413,33211,0.99,15482,108,0.02,0,4207,6939
1890,53339,33160,0.99,15482,119,0.02,0,4206,6939
1891,53261,33107,0.99,15482,130,0.03,0,4204,6939
1892,53179,33051,0.99,15481,140,0.03,0,4203,6939
1893,53095,32993,0.99,15481,151,0.03,0,4200,6939
1894,53007,32932,0.98,15481,162,0.03,0,4198,6939
1895,52918,32870,0.98,15481,172,0.04,0,4195,6939
1896,52826,32807,0.98,15481,183,0.04,0,4192,6939
1897,52731,32741,0.98,15481,194,0.04,0,4189,6939
1898,52636,32675,0.98,15481,205,0.04,0,4185,6939
1899,52539,32608,0.97,15481,216,0.04,0,4181,6940
1900,52440,32539,0.97,15482,226,0.05,0,4177,6940
1901,52341,32470,0.97,15482,237,0.05,0,4173,6941
1902,52241,32400,0.97,15483,248,0.05,0,4169,6942
1903,52140,32330,0.97,15484,258,0.05,0.01,4164,6942
1904,52038,32259,0.96,15485,269,0.05,0.01,4159,6944
1905,51936,32188,0.96,15487,280,0.06,0.01,4154,6945
1906,51834,32116,0.96,15489,291,0.06,0.01,4149,6947
1907,51731,32044,0.96,15491,301,0.06,0.01,4143,6949
1908,51628,31972,0.96,15493,312,0.06,0.01,4137,6951
1909,51525,31899,0.95,15496,323,0.07,0.01,4131,6954
1910,51422,31827,0.95,15500,333,0.07,0.01,4125,6957
1911,51319,31754,0.95,15504,344,0.07,0.01,4118,6960
1912,51216,31682,0.95,15508,355,0.07,0.01,4111,6965
1913,51114,31609,0.94,15514,366,0.07,0.01,4103,6969
1914,51012,31537,0.94,15520,376,0.08,0.01,4096,6975
1915,50910,31465,0.94,15526,387,0.08,0.01,4087,6981
1916,50809,31393,0.94,15534,393,0.08,0.01,4078,6988
1917,50714,31325,0.94,15542,535,0.11,0.01,4069,6995
1918,50493,31174,0.93,15550,431,0.09,0.01,4058,7003
1919,50390,31099,0.93,15561,339,0.07,0.01,4046,7012
1920,50388,31091,0.93,15573,234,0.05,0,4035,7023
1921,50494,31155,0.93,15587,299,0.06,0.01,4022,7036
1922,50539,31180,0.93,15602,432,0.09,0.01,4010,7050
1923,50459,31123,0.93,15617,435,0.09,0.01,3995,7063
1924,50385,31069,0.93,15633,542,,0.01,3980,7078
1925,50216,30953,0.92,15649,537,0.11,0.01,3962,7094
1926,50065,30847,0.92,15666,530,0.11,0.01,3943,7110
1927,49937,30755,0.92,15685,643,0.13,0.01,3921,7128
1928,49716,30601,0.91,15704,631,0.13,0.01,3896,7147
1929,49527,30468,0.91,15724,720,0.14,0.01,3868,7167
