hours_since_20110102,year,month,day,temp_bottom_40_47N_50_200m,temp_bottom_40_47N_250_500m,temp_250_500m_40_47N_250_500m,temp_50_200m_40_47N_250_500m,temp_200_500m_40_47N_250_500m,temp_0_50m_40_47N_50_150km,temp_0_150m_40_47N_80_120km,mld_40_47N_250_500m,ualong_50_200m_40_47N_250_500m,ualong_200_500m_40_47N_250_500m,ualong_0_50m_40_47N_50_150km,ualong_0_150m_40_47N_80_120km,ualong_bottom_40_47N_50_150m,ualong_bottom_40_47N_150_500m,ucross_50_200m_40_47N_250_500m,ucross_200_500m_40_47N_250_500m,ucross_0_50m_40_47N_50_150km,ucross_0_150m_40_47N_80_120km,ucross_bottom_40_47N_50_150m,ucross_bottom_40_47N_150_500m
0,2011,1,2,9.9342,5.976,6.4619,8.8601,6.7923,10.422,10.448,32.022,0.06056,-0.04654,0.0668,0.02453,-0.00553,-0.02511,0.00104,-0.00166,0.02306,0.01168,0.00407,0.00512
24,2011,1,3,9.9056,5.9296,6.4165,8.8469,6.7508,10.396,10.407,32.349,0.04101,-0.05139,0.05764,0.02401,-0.02868,-0.0236,0.00118,0.00225,-0.00581,-0.00119,0.00738,0.00629
48,2011,1,4,9.874,5.9094,6.3883,8.8463,6.7286,10.372,10.364,33.108,0.04922,-0.0384,0.06014,0.02365,-0.02151,-0.00955,0.0007,-0.00197,0.00472,0.00264,0.00438,0.00017
72,2011,1,5,9.8576,5.9111,6.3716,8.8445,6.7095,10.351,10.329,33.506,0.06471,-0.01628,0.06791,0.03502,0.00419,0.00683,-0.00233,-0.00012,-0.00127,0.00093,-0.00197,0.00053
96,2011,1,6,9.6786,5.9329,6.3704,8.7307,6.6996,10.306,10.338,32.589,0.05983,-0.01562,0.07349,0.03926,-0.00848,-0.00097,0.00114,-0.00291,0.02765,0.01983,-0.00328,-0.00085
120,2011,1,7,9.6775,5.903,6.3358,8.723,6.6671,10.302,10.329,32.436,0.03666,-0.03104,0.06174,0.03955,-0.0129,-0.01568,-0.00251,0.004,0.00441,-0.00245,0.00315,0.00595
144,2011,1,8,9.6712,5.8728,6.3097,8.7102,6.6408,10.288,10.314,32.489,0.01347,-0.04564,0.06719,0.04326,-0.02722,-0.02748,0.00273,-0.00027,0.00423,0.0059,0.01081,0.00377
168,2011,1,9,9.6403,5.8156,6.2599,8.678,6.5925,10.259,10.283,32.506,-0.01933,-0.06793,0.03995,0.02108,-0.04632,-0.04094,0.00278,0.00423,-0.00374,0.00356,0.02003,0.01017
192,2011,1,10,9.542,5.734,6.1882,8.5975,6.5165,10.24,10.288,32.732,-0.05581,-0.09382,0.0535,0.03517,-0.0679,-0.05346,0.0031,0.0043,-0.00212,-0.00029,0.023,0.01157
216,2011,1,11,9.4531,5.6696,6.1456,8.5757,6.4798,10.201,10.248,33.557,-0.07198,-0.1057,0.04591,0.02615,-0.04933,-0.05077,0.00381,0.00322,0.0126,0.00679,0.01782,0.00707
