"year","DDpre","Tpre.a","Tpre.b","MLDegg","LSTegg","CSTegg1","DDegg1","CSTegg2","LSTegg2","DDegg2","LSTlarv","CSTlarv","DDlarv","LSTpjuv","CSTpjuv","DDpjuv","LSTbjuv.a","CSTbjuv.a","LSTbjuv.b","CSTbjuv.b"
1980,NA,6.1435,6.5381,43.9817857142857,-0.02769525,0.00125102642857143,153.288,-0.005942,0.000636764285714286,90.373,-0.0153257428571429,0.00124276571428571,206.85,-0.0433539677419355,0.000942029032258065,204.675,0.00335777777777778,0.00471811111111111,0.0169592074074074,-0.00257657037037037
1981,197.158,6.14837837837838,6.528,38.4091111111111,-0.0233299111111111,-0.00124936555555556,246.023,0.00222277777777778,-0.000338389777777778,146.088,-0.0122186717391304,0.0039982347826087,388.42,-0.0226518666666667,-0.00261484,214.58,-0.00398766666666667,0.00788811666666667,0.0243073574074074,-0.00283413703703704
1982,194.302,5.94497368421053,6.29336842105263,36.6062222222222,-0.0104990444444444,0.000476424444444444,223.534,0.00784057333333333,0.000419911111111111,136.608,-0.0272427260869565,0.00220708043478261,317.768,-0.00244507666666667,-0.0033213,174.07,-0.00359562264150943,0.00844948433962264,0.0155457735849057,-0.00150907547169811
1983,205.441,6.72365789473684,7.20442105263158,41.2448888888889,0.0728055555555556,-0.00348792666666667,278.716,0.0167514888888889,-0.00168670711111111,174.172,-0.0103951511111111,0.011425,349.9,-0.0234703548387097,-0.00211282225806452,217.06,0.000726871698113208,0.00486171320754717,0.0112591773584906,-0.00146554188679245
1984,247.251,5.87784210526316,6.30847368421053,39.0967391304348,-0.0462018043478261,0.00106043043478261,247.371,-0.0163691043478261,0.000878600304347826,139.404,-0.029408,0.00451089565217391,342.473,-0.0206161333333333,0.000508371,189.633,-0.00356721296296296,0.00732566111111111,0.0105730185185185,-0.000541312962962963
1985,208.835,5.94976315789474,6.27231578947368,38.8231111111111,-0.0369367688888889,0.00200365822222222,210.303,0.00493794,0.000310825333333333,132.424,-0.0446834347826087,-0.0022932347826087,299.606,-0.0447005,-0.002485428,168.018,-0.015441658490566,0.0122451320754717,0.00333449679245283,0.000475466037735849
1986,219.824,6.09097368421053,6.50018421052632,36.8715555555556,-0.00246893333333333,-0.000340554222222222,219.589,-0.0137318422222222,0.000387880222222222,143.595,-0.0111760711111111,0.00414510288888889,299.875,0.00690379677419355,-0.00238087419354839,189.851,-0.0146476226415094,0.012496,0.00179899811320755,0.000629056603773585
1987,212.843,6.32526315789474,6.73281578947368,33.8480434782609,0.00236139130434783,-0.000776901956521739,243.574,-0.00322354130434783,1.1329347826087e-05,157.155,-0.0189605333333333,0.00350617777777778,338.54,-0.000271096774193548,-0.00489854516129032,196.073,-0.0115707574074074,0.0106534598148148,0.00301629074074074,0.000112661111111111
1988,225.357,6.11713157894737,6.5593947368421,36.7115555555556,-0.000535866666666667,-0.000346842222222222,234.497,-0.000192846666666667,0.000443569111111111,147.495,-0.0167899808695652,0.00315399347826087,311.341,-0.0040038,-0.00305932666666667,176.426,-0.00739751320754717,0.00846355283018868,0.00893157528301887,-0.000444801886792453
1989,202.201,6.02905263157895,6.35586842105263,38.0277777777778,0.0061194,-0.000277224444444444,208.292,0.00895491111111111,-4.30437777777778e-05,137.706,0.0162952222222222,-0.00228006888888889,284.292,0.0435077419354839,-0.00528508709677419,175.394,0.00385758490566038,0.0053727320754717,0.0129382075471698,-0.001796
1990,212.006,6.31152631578947,6.6681052631579,37.2571739130435,0.0313409782608696,-0.00153314586956522,228.913,0.0180596956521739,-0.00130920891304348,156.569,0.0141696177777778,-3.32955555555556e-05,300.929,0.0173097741935484,-0.00353262258064516,173.866,-0.00325384814814815,0.00672427222222222,0.00614377777777778,-0.000590325
1991,228.108,6.02689189189189,6.39383783783784,36.7113333333333,0.0220312222222222,-0.000411604444444444,206.952,0.00245697777777778,-0.000227175555555556,138.163,0.00244290869565217,-0.00311079347826087,287.861,0.000399133333333333,-0.007822,157.945,-0.00435782777777778,0.00825462037037037,0.00477807962962963,9.83581481481482e-05
1992,209.228,6.57168421052632,7.00060526315789,31.0417777777778,0.0677506237777778,-0.00313487733333333,245.561,0.0118546377777778,-0.00164646888888889,167.844,0.0029585347826087,0.00828185217391304,334.79,-0.0375277419354839,-0.00118667741935484,219.048,-0.000601017547169811,0.00577870094339623,0.00391311320754717,-0.000273605283018868
