"","CSTbjuv.a","CSTbjuv.b","CSTegg1","CSTegg2","CSTlarv","CSTpjuv","DDegg1","DDegg2","DDlarv","DDpjuv","DDpre","LSTbjuv.a","LSTbjuv.b","LSTegg","LSTegg2","LSTlarv","LSTpjuv","MLDegg","Tpre.a","Tpre.b"
"CSTbjuv.a",1,0.910707447404967,0.211751147395101,-0.418559316395318,-0.383389170301367,-0.374089479861824,-0.01994698511108,0.198058684790388,0.119750104514995,0.117081540714899,0.283820109814769,-0.977388457044815,-0.857791109224923,-0.368345852009933,0.551170655718271,-0.625715811700584,0.0937347391326733,-0.576579525756625,0.224824860628559,0.186995671613513
"CSTbjuv.b",0.910707447404967,1,0.0741972630881767,-0.445155771509377,-0.253618339018272,-0.261343588569977,0.100104647942438,0.326952934488514,0.120698844053737,0.19590866771525,0.405891186134766,-0.92841561206839,-0.95947308675522,-0.191077641679211,0.471118544852931,-0.472488878776836,0.110570406894226,-0.528139473818021,0.305063186838497,0.289773280857948
"CSTegg1",0.211751147395101,0.0741972630881767,1,-0.213077999561107,-0.537253558684844,-0.244807960746292,-0.546147678561221,-0.642875130309769,-0.399478270432714,-0.521741426491805,0.0384137202117525,-0.10560727684363,0.0447477987092039,-0.714803365575436,0.702321029106123,-0.463396743031503,0.128620221019593,-0.0969609776429431,-0.619869585941333,-0.636748832348579
"CSTegg2",-0.418559316395318,-0.445155771509377,-0.213077999561107,1,-0.265494366568734,-0.191707580245806,-0.170191832136675,0.0594678994150559,-0.260381485084683,-0.155516219135147,-0.546084174614911,0.3978752254936,0.347187367243118,0.56374719891985,-0.731521375220281,0.0822425580084119,-0.0192698805109486,-0.0550836517919118,0.256204847714858,0.155821968833981
"CSTlarv",-0.383389170301367,-0.253618339018272,-0.537253558684844,-0.265494366568734,1,0.831652592354403,0.657777387562456,0.376076806560489,0.507832125335225,0.427402940511192,0.310028298369197,0.283027882862275,0.151599751500616,0.315248269341158,-0.295791931148737,0.622194504420572,-0.348225779612694,0.537370332208394,0.202848023270194,0.31985221825978
"CSTpjuv",-0.374089479861824,-0.261343588569977,-0.244807960746292,-0.191707580245806,0.831652592354403,1,0.420714180512017,0.19773122081073,0.268836555005727,0.236027631437407,0.412258745265177,0.267273341313679,0.147067764345264,0.252900881059574,-0.161805444797784,0.573082287448764,-0.270135844334039,0.423704942447021,0.0644230185835359,0.159012942987802
"DDegg1",-0.01994698511108,0.100104647942438,-0.546147678561221,-0.170191832136675,0.657777387562456,0.420714180512017,1,0.801147591806301,0.821040919151448,0.754544126825766,0.391701409702005,-0.103784382005862,-0.18305033127751,0.32145447292977,-0.253924198920611,0.139031042938522,-0.491506304844773,0.36180601476527,0.617792744349052,0.73081538940743
"DDegg2",0.198058684790388,0.326952934488514,-0.642875130309769,0.0594678994150559,0.376076806560489,0.19773122081073,0.801147591806301,1,0.526515727755769,0.606611777197469,0.344549501218547,-0.327683971639826,-0.442352341756666,0.568339749984881,-0.377915658161752,0.0567525713118168,-0.351112654581024,-0.0113058141405406,0.946178439565375,0.981527743925434
"DDlarv",0.119750104514995,0.120698844053737,-0.399478270432714,-0.260381485084683,0.507832125335225,0.268836555005727,0.821040919151448,0.526515727755769,1,0.844586075149489,0.184497324351666,-0.201369739936537,-0.177491126027967,-0.00591410621003114,-0.0799356745975098,0.00327224698200828,-0.41260473561844,0.107189133302789,0.361567316288198,0.439734946426405
"DDpjuv",0.117081540714899,0.19590866771525,-0.521741426491805,-0.155516219135147,0.427402940511192,0.236027631437407,0.754544126825766,0.606611777197469,0.844586075149489,1,0.160966501289939,-0.212077901930568,-0.268293758416398,0.212656255647054,-0.193927823498135,0.00601484878406282,-0.282569645050002,-0.0494020056620072,0.483452684294392,0.54044670567714
