"","CSTbjuv.a","CSTbjuv.b","CSTegg1","CSTegg2","CSTlarv","CSTpjuv","DDegg1","DDegg2","DDlarv","DDpjuv","DDpre","LSTbjuv.a","LSTbjuv.b","LSTegg","LSTegg2","LSTlarv","LSTpjuv","MLDegg","Tpre.a","Tpre.b"
"CSTbjuv.a",1,0.931017520326564,0.313573978413413,0.139955709646805,0.00916606052293884,-0.0667631111190115,0.318499302166463,0.393209847542662,-0.0763232265563996,-0.509240510782767,-0.736766126871583,-0.991993262441792,-0.94024522464365,-0.66912771491522,-0.751669718497066,-0.233857293822313,0.121679041613236,0.423558520897685,-0.0233195515722609,0.238122577119458
"CSTbjuv.b",0.931017520326564,1,0.226432599622876,0.208054568706552,0.0992906917342447,0.0143344172335248,0.34785824224582,0.423966733328841,-0.0815785358925005,-0.579603341220841,-0.708822193260746,-0.923250390577102,-0.98981518687908,-0.567289191341349,-0.742507672620414,-0.116901622837097,0.0615022128155837,0.491380528262128,0.00469908011921817,0.271607141170868
"CSTegg1",0.313573978413413,0.226432599622876,1,-0.0509147483921093,-0.392005807839976,-0.206179669885659,-0.302235125716988,-0.416172230465761,-0.311092892967331,-0.397921726884629,-0.223102963259639,-0.266725485289353,-0.196062461699964,-0.628251028917456,-0.298600971225399,-0.40019345688862,0.160739713507286,0.163068026942801,-0.518917610631632,-0.467848888436
"CSTegg2",0.139955709646805,0.208054568706552,-0.0509147483921093,1,-0.11956407653858,-0.100849609375725,0.0940329756589548,0.206589672371281,-0.204164029077751,-0.324565281837012,-0.486401139870355,-0.124099915091393,-0.215639167187075,-0.00967416745819478,-0.427838638354593,0.118611344495389,0.0522569570370792,0.293200051610425,0.0856967119139765,0.170902842405117
"CSTlarv",0.00916606052293884,0.0992906917342447,-0.392005807839976,-0.11956407653858,1,0.78936982859033,0.664092490596275,0.378892804159362,0.451382848214369,0.177168632814117,-0.192100647291812,-0.0359825606458218,-0.122135301264572,0.0380289686320032,-0.217816635567546,0.635298901088413,-0.26041741542084,0.451321783541554,0.107334903338393,0.308908233152014
"CSTpjuv",-0.0667631111190115,0.0143344172335248,-0.206179669885659,-0.100849609375725,0.78936982859033,1,0.390623887476241,0.150256739250452,0.176474549105925,0.0353478585265218,-0.117249654666365,0.0274613839580472,-0.0380924462696514,0.0736236981571137,-0.10411027820845,0.610637102904078,-0.123877884236617,0.318025310982791,-0.0515867912361325,0.081240788801372
"DDegg1",0.318499302166463,0.34785824224582,-0.302235125716988,0.0940329756589548,0.664092490596275,0.390623887476241,1,0.759926254426049,0.66551484549711,0.239839106622676,-0.38280851860389,-0.355487204647689,-0.389548326994442,-0.160835483600944,-0.458791236676516,0.173100943764437,-0.372652492415212,0.534266865920022,0.350066779515537,0.649284893835322
"DDegg2",0.393209847542662,0.423966733328841,-0.416172230465761,0.206589672371281,0.378892804159362,0.150256739250452,0.759926254426049,1,0.363939722046851,0.134405027500025,-0.235560095005174,-0.448446541925882,-0.472912486467678,0.114334186092642,-0.314248390645489,0.0209754244305857,-0.312227839684119,0.224726440757237,0.788613059327104,0.963184802901878
"DDlarv",-0.0763232265563996,-0.0815785358925005,-0.311092892967331,-0.204164029077751,0.451382848214369,0.176474549105925,0.66551484549711,0.363939722046851,1,0.707108139509786,0.161058179985742,0.0448863600663316,0.051191835280231,0.0825962676570738,0.0744602115541466,0.00765276337555305,-0.438729809809567,-0.0153878278927051,0.297123656954548,0.368036425462381
"DDpjuv",-0.509240510782767,-0.579603341220841,-0.397921726884629,-0.324565281837012,0.177168632814117,0.0353478585265218,0.239839106622676,0.134405027500025,0.707108139509786,1,0.579781361736866,0.467987879290523,0.546148113530744,0.457119234962995,0.519096391374817,-0.01319360434897,-0.292014974459607,-0.455163219432504,0.374931608798776,0.242925547922132
"DDpre",-0.736766126871583,-0.708822193260746,-0.223102963259639,-0.486401139870355,-0.192100647291812,-0.117249654666365,-0.38280851860389,-0.235560095005174,0.161058179985742,0.579781361736866,1,0.702418331526544,0.715566969757465,0.718592066838131,0.933638420208559,-0.142339861471068,-0.187352128696701,-0.726487448470968,0.309762412971171,-0.0302253233069465
"LSTbjuv.a",-0.991993262441792,-0.923250390577102,-0.266725485289353,-0.124099915091393,-0.0359825606458218,0.0274613839580472,-0.355487204647689,-0.448446541925882,0.0448863600663316,0.467987879290523,0.702418331526544,1,0.943703126861667,0.622281711747738,0.726055986718837,0.213827148958096,-0.1243541882767,-0.398016397924839,-0.042027535705675,-0.298247153614476
"LSTbjuv.b",-0.94024522464365,-0.98981518687908,-0.196062461699964,-0.215639167187075,-0.122135301264572,-0.0380924462696514,-0.389548326994442,-0.472912486467678,0.051191835280231,0.546148113530744,0.715566969757465,0.943703126861667,1,0.55662073897961,0.750996577111063,0.0943835150472087,-0.0846389306777715,-0.489762435379778,-0.0476146300498152,-0.321192177106624
"LSTegg",-0.66912771491522,-0.567289191341349,-0.628251028917456,-0.00967416745819478,0.0380289686320032,0.0736236981571137,-0.160835483600944,0.114334186092642,0.0825962676570738,0.457119234962995,0.718592066838131,0.622281711747738,0.55662073897961,1,0.771596177369073,0.222369655049816,-0.221562546427215,-0.54744722177099,0.567887526975184,0.299227275595329
