"Period...1","roms_param...2","Mean...3","Var...4","SD...5","Period...6","roms_param...7","Mean...8","Var...9","SD...10"
"after","CSTbjuv.a",-0.00692828527467517,2.38120803658093e-05,0.00487976232677466,"before","CSTbjuv.a",0.00454066621397173,1.52836050437782e-05,0.00390942515515749
"after","CSTbjuv.b",-0.0107281258453005,2.28141116766007e-05,0.00477641200867353,"before","CSTbjuv.b",-0.00212412268200672,2.72448161926909e-06,0.00165060038145794
"after","CSTegg1",-0.00148568492027987,6.96382643120182e-07,0.000834495442240509,"before","CSTegg1",-0.000813878063313965,1.50887158753534e-06,0.00122836134241327
"after","CSTegg2",-0.00336975373649807,9.36468560266435e-06,0.00306017738091509,"before","CSTegg2",0.00585674628019324,0.000141687047183074,0.011903236836385
"after","CSTlarv",0.00439347547249892,1.38417337617926e-05,0.00372044805927896,"before","CSTlarv",0.00748934527954763,4.84881699372762e-05,0.00696334473778774
"after","CSTpjuv",-0.000897554644808744,7.33563462147679e-06,0.00270843767169872,"before","CSTpjuv",0.000214981946930281,1.78410103610805e-05,0.00422386201965459
"after","DDegg1",4.73080124161605,0.0710753751038069,0.266599653232721,"before","DDegg1",5.20292033437966,0.219898850687005,0.468933738055821
"after","DDegg2",3.03441221588821,0.0293147343593148,0.171215461799788,"before","DDegg2",3.21740813130301,0.0760123097242273,0.275703300169271
"after","DDlarv",7.13845732414334,0.413062196001083,0.642699148903344,"before","DDlarv",7.07578857721677,0.359011006477344,0.599175271917445
"after","DDpjuv",7.03548620218579,0.469946917350521,0.685526744445847,"before","DDpjuv",6.08875959070413,0.30920311190209,0.556060349154739
"after","DDpre",9.04023233695652,2.86624631083888,1.69299920579984,"before","DDpre",4.64521956521739,0.177222958521282,0.420978572520362
"after","LSTbjuv.a",0.0368794767494871,0.000195714065135731,0.0139897843134099,"before","LSTbjuv.a",0.00509716251831564,0.000145708370941253,0.0120709722450701
"after","LSTbjuv.b",0.0663139664919079,0.00051336392333579,0.0226575356854136,"before","LSTbjuv.b",0.0172568783650053,0.000132230637914823,0.0114991581393954
"after","LSTegg",0.0805799276735187,0.000918402098631793,0.030305149704824,"before","LSTegg",0.0178617833055945,0.000912898024133415,0.0302142023580537
"after","LSTegg2",0.0875562575978663,0.00136624427929132,0.0369627417718345,"before","LSTegg2",-0.000560871602860705,6.3307398865528e-07,0.000795659467772036
"after","LSTlarv",0.005808599424458,0.000228120518461169,0.0151036591083475,"before","LSTlarv",0.00839144875620561,0.000498838690486699,0.0223346970090641
"after","LSTpjuv",-0.0139893715846994,0.00026297712666968,0.0162165695099081,"before","LSTpjuv",-0.0107355231356226,0.000504825324361331,0.0224683182361594
"after","MLDegg",27.8381773582384,10.8775667153333,3.29811563098284,"before","MLDegg",41.1928526792671,26.6821940372952,5.16548100735016
"after","Tpre.a",6.22260159861907,0.0419158127243991,0.204733516367983,"before","Tpre.a",6.11126386913229,0.0557345825390675,0.236081728515926
"after","Tpre.b",6.44359843117789,0.034481105423378,0.185690886753707,"before","Tpre.b",6.51499427797917,0.073642055610438,0.271370697774167
